Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
3-Aug-22,6:00,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,6:05,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,6:10,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,6:15,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,6:20,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,6:25,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,6:30,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,6:35,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,6:40,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,6:45,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,6:50,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,6:55,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,7:00,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,7:05,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,7:10,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,7:15,0,62.1,62.1,0,62.1,62.1,68.4
3-Aug-22,7:20,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,7:25,0,62.1,62.1,0,62.1,62.1,68.4
3-Aug-22,7:30,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,7:35,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,7:40,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,7:45,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,7:50,0,62.1,62.1,0,62.1,62.1,69.3
3-Aug-22,7:55,0,62.1,62.1,0,62.1,62.1,70.2
3-Aug-22,8:00,0,62.1,62.1,0,62.1,62.1,68.4
3-Aug-22,8:05,0,62.1,62.1,0,62.1,62.1,68.4
3-Aug-22,8:10,0,62.1,62.1,0,62.1,62.1,68.4
3-Aug-22,8:15,0,62.1,62.1,0,62.1,62.1,68.4
3-Aug-22,8:20,0,62.1,62.1,0,62.1,62.1,68.4
3-Aug-22,8:25,0,62.1,62.1,0,62.1,62.1,69.3
