Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
9-Jul-22,0:00,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,0:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,0:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,0:15,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,0:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,0:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,0:30,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,0:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,0:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,0:45,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,0:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,0:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:00,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,1:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:15,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,1:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:30,0,29.8,29.8,0,29.8,29.8,33.8
9-Jul-22,1:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:45,0,29.8,29.8,0,29.8,29.8,33.8
9-Jul-22,1:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,1:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:00,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,2:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:15,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,2:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:30,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,2:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:45,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,2:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,2:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:00,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,3:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:15,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,3:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:30,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,3:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:45,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,3:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,3:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,4:00,0,29.8,29.8,0,29.8,29.8,34.4
9-Jul-22,4:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,4:10,0,29.8,29.8,0,29.8,29.8,
