TimeStamp,Discharge,Water Temp,Sp Cond,Turbidity,pH,O2,fDOM
5/16/2022 17:15,,18.096,764.7,4.37,7.82,8.49,
5/16/2022 17:30,,18.26,764.9,4.02,7.86,8.63,
5/16/2022 17:45,,17.965,765.5,5.14,7.82,8.39,
5/16/2022 18:00,,18.115,766.3,3.77,7.78,8.16,
5/16/2022 18:15,,18.401,766.2,3.3,7.83,8.59,
5/16/2022 18:30,,18.31,766.4,2.25,7.82,8.2,
5/16/2022 18:45,,18.276,766.2,1.43,7.83,8.34,
5/16/2022 19:00,,18.446,766.6,2.99,7.81,8.24,
5/16/2022 19:15,,18.442,765.9,2.43,7.82,8.44,
5/16/2022 19:30,,18.336,766.5,2.74,7.82,8.31,
5/16/2022 19:45,,18.549,766.1,2.24,7.84,8.63,
5/16/2022 20:00,,18.607,765.6,2.59,7.83,8.51,
5/16/2022 20:15,,18.662,765.9,2.55,7.83,8.58,
5/16/2022 20:30,,18.583,765.9,2.85,7.79,8.32,
5/16/2022 20:45,,18.775,763.8,2.63,7.86,8.62,
5/16/2022 21:00,,18.799,764.6,2.3,7.77,8.08,
5/16/2022 21:15,,18.792,764.4,2.21,7.85,8.21,
5/16/2022 21:30,,18.727,764.4,2.25,7.8,8.11,
5/16/2022 21:45,,18.766,764.5,2.06,7.83,8.34,
5/16/2022 22:00,,18.741,764.3,2.32,7.81,8.07,
5/16/2022 22:15,,18.731,764.5,1.85,7.81,8.16,
5/16/2022 22:30,,18.647,764.5,2.62,7.78,7.84,
5/16/2022 22:45,,18.419,764.5,1.49,7.79,7.93,
5/16/2022 23:00,,18.297,764.1,1.68,7.76,7.29,
5/16/2022 23:15,,18.142,762.3,1.8,7.76,7.36,
5/16/2022 23:30,,18.003,762.3,1.43,7.75,6.88,
5/16/2022 23:45,,17.884,761.6,1.09,7.76,6.64,
5/17/2022 0:00,,17.728,762.4,2.01,7.73,6.26,
5/17/2022 0:15,,17.597,762.4,1.57,7.73,6.09,
5/17/2022 0:30,,17.435,762.4,2.63,7.68,5.47,
5/17/2022 0:45,,17.333,762.4,1.85,7.73,5.51,
5/17/2022 1:00,,17.223,762.9,1.95,7.72,5.26,
5/17/2022 1:15,,17.121,762.7,1.89,7.72,5.17,
5/17/2022 1:30,,16.95,763.2,2.24,7.66,4.81,
5/17/2022 1:45,,16.852,763.6,2.09,7.71,4.8,
5/17/2022 2:00,,16.74,763.9,2.12,7.68,4.64,
5/17/2022 2:15,,16.587,763.5,1.81,7.71,4.58,
5/17/2022 2:30,,16.49,764.3,2.07,7.69,4.36,
5/17/2022 2:45,,16.383,764.2,1.41,7.7,4.29,
5/17/2022 3:00,,16.307,764.4,2.16,7.68,4.04,
5/17/2022 3:15,,16.236,764.4,2.1,7.69,4.19,
5/17/2022 3:30,,16.123,764.5,1.98,7.67,3.96,
5/17/2022 3:45,,16.01,764.7,1.55,7.69,4.04,
5/17/2022 4:00,,15.928,764.8,2.16,7.68,3.9,
5/17/2022 4:15,,15.807,765.1,1.94,7.69,3.92,
5/17/2022 4:30,,15.723,765.4,2.69,7.68,3.72,
5/17/2022 4:45,,15.633,765.5,1.88,7.69,3.83,
5/17/2022 5:00,,15.547,765.9,2.23,7.68,3.79,
5/17/2022 5:15,,15.451,766.2,1.57,7.7,3.8,
5/17/2022 5:30,,15.351,766.5,3,7.68,3.82,
5/17/2022 5:45,,15.234,767.1,1.66,7.7,3.91,
5/17/2022 6:00,,15.117,767.3,2.05,7.69,3.89,
5/17/2022 6:15,,15.049,767.5,1.85,7.7,3.88,
5/17/2022 6:30,,14.96,768.1,1.93,7.69,3.85,
5/17/2022 6:45,,14.837,768.5,1.74,7.71,3.94,
5/17/2022 7:00,,14.738,768.9,1.6,7.7,3.96,
5/17/2022 7:15,,14.655,769.3,2.11,7.71,3.95,
5/17/2022 7:30,,14.552,769.9,1.68,7.7,3.95,
5/17/2022 7:45,,14.493,770.4,1.84,7.71,3.96,
5/17/2022 8:00,,14.437,770.7,1.62,7.7,3.98,
5/17/2022 8:15,,14.375,771,1.34,7.71,3.99,
5/17/2022 8:30,,14.343,771.2,1.24,7.7,4.03,
5/17/2022 8:45,,14.299,771.5,1.16,7.72,4.11,
5/17/2022 9:00,,14.28,771.6,1.1,7.71,4.1,
5/17/2022 9:15,,14.305,771.9,0.91,7.72,4.15,
5/17/2022 9:30,,14.406,771.9,1.02,7.7,4.02,
5/17/2022 9:45,,14.487,772.3,0.76,7.72,4.32,
5/17/2022 10:00,,14.656,773.3,1.17,7.72,4.54,
5/17/2022 10:15,,14.823,773.6,0.9,7.75,4.72,
5/17/2022 10:30,,15.058,773.6,1.29,7.73,4.84,
5/17/2022 10:45,,15.127,771.8,1.72,7.75,4.85,
5/17/2022 11:00,,15.058,772.6,1.64,7.71,4.52,
5/17/2022 11:15,,15.036,772.8,1.42,7.73,4.47,
5/17/2022 11:30,,15.142,771.1,1.71,7.72,4.62,
5/17/2022 11:45,,15.347,771.8,1.66,7.75,4.7,
5/17/2022 12:00,,15.43,771.1,2.1,7.69,4.91,
5/17/2022 12:15,,15.573,771.7,2.95,7.75,4.92,
5/17/2022 12:30,,15.729,770.3,1.97,7.75,5.24,
5/17/2022 12:45,,15.908,768.6,2.24,7.78,5.52,
5/17/2022 13:00,,16.667,769.4,2.23,7.78,6.15,
5/17/2022 13:15,,16.341,769.7,1.88,7.77,5.82,
5/17/2022 13:30,,16.488,768.2,2.62,7.78,6,
5/17/2022 13:45,,16.767,769.9,1.33,7.82,6.17,
5/17/2022 14:00,,16.606,768.7,2.4,7.78,6.15,
5/17/2022 14:15,,16.749,768.3,1.86,7.79,6.08,
5/17/2022 14:30,,17.066,768.3,3.18,7.77,6.24,
5/17/2022 14:45,,17.247,769.5,2.47,7.79,6.23,
5/17/2022 15:00,,17.517,767.6,2.44,7.77,6.43,
5/17/2022 15:15,,17.605,768.4,2.08,7.8,6.3,
5/17/2022 15:30,,17.821,768.4,1.84,7.79,6.74,
5/17/2022 15:45,,17.706,767.7,1.76,7.81,6.82,
5/17/2022 16:00,,17.857,766.5,2.3,7.78,6.9,
5/17/2022 16:15,,18.129,768.9,1.75,7.81,7.57,
5/17/2022 16:30,,18.146,768.9,1.37,7.8,7.34,
5/17/2022 16:45,,18.047,767.3,1.25,7.82,7.47,
5/17/2022 17:00,,18.159,766.1,1.4,7.82,7.57,
5/17/2022 17:15,,18.227,765.6,1.08,7.84,7.88,
5/17/2022 17:30,,18.177,766.4,1.82,7.8,7.5,
5/17/2022 17:45,,17.955,766.1,1.17,7.82,6.86,
5/17/2022 18:00,,17.931,766.6,1.99,7.79,6.8,
5/17/2022 18:15,,18.123,766,1.14,7.82,7.5,
5/17/2022 18:30,,18.204,765.9,2.55,7.81,7.16,
5/17/2022 18:45,,18.43,765.8,2.16,7.81,7.25,
5/17/2022 19:00,,18.543,764.8,1.6,7.82,7.73,
5/17/2022 19:15,,18.56,765,1.6,7.85,8.29,
5/17/2022 19:30,,18.628,764.7,1.58,7.82,7.67,
5/17/2022 19:45,,18.611,765.2,1.69,7.83,8.03,
5/17/2022 20:00,,18.597,764.7,2.1,7.8,7.72,
5/17/2022 20:15,,18.688,764.3,1.71,7.83,7.99,
5/17/2022 20:30,,18.67,763.9,2.09,7.82,7.95,
5/17/2022 20:45,,18.709,764.3,2.02,7.84,7.88,
5/17/2022 21:00,,18.763,764.2,1.96,7.82,8.1,
5/17/2022 21:15,,18.81,764.6,2.66,7.82,8.11,
5/17/2022 21:30,,18.838,764.4,2.53,7.79,7.48,
5/17/2022 21:45,,18.795,764.2,2.41,7.82,7.72,
5/17/2022 22:00,,18.808,764.2,2.9,7.78,7.76,
5/17/2022 22:15,,18.82,764.8,2.46,7.82,7.97,
5/17/2022 22:30,,18.824,764.6,1.96,7.79,7.54,
5/17/2022 22:45,,18.759,764.6,2.34,7.79,6.9,
5/17/2022 23:00,,18.531,764.8,1.79,7.8,7.35,
5/17/2022 23:15,,18.517,764.7,1.48,7.81,7.59,
5/17/2022 23:30,,18.394,765,1.73,7.8,7.37,
5/17/2022 23:45,,18.334,765.1,1.4,7.8,7.43,
5/18/2022 0:00,,18.183,765.2,2.07,7.78,7.38,
5/18/2022 0:15,,17.956,765.3,2.02,7.78,6.9,
5/18/2022 0:30,,17.81,763.9,1.41,7.75,6.18,
5/18/2022 0:45,,17.75,763.1,1.47,7.75,6.18,
5/18/2022 1:00,,17.656,760.4,1.83,7.72,5.55,
5/18/2022 1:15,,17.648,759.1,1.57,7.75,5.54,
5/18/2022 1:30,,17.502,756.4,1.75,7.75,5.3,
5/18/2022 1:45,,17.391,756.2,2.04,7.78,5.23,
5/18/2022 2:00,,17.229,755.2,2.37,7.76,5.03,
5/18/2022 2:15,,16.776,759.2,1.69,7.74,4.8,
5/18/2022 2:30,,16.669,758.8,2.16,7.73,4.64,
5/18/2022 2:45,,16.476,759.6,2.04,7.73,4.59,
5/18/2022 3:00,,16.38,759.4,2.6,7.73,4.36,
5/18/2022 3:15,,16.254,758.7,1.66,7.74,4.47,
5/18/2022 3:30,,16.198,759,2.81,7.73,4.45,
5/18/2022 3:45,,16.129,759,1.49,7.75,4.41,
5/18/2022 4:00,,16.068,759.4,1.82,7.73,4.3,
5/18/2022 4:15,,16.008,759.6,1.52,7.74,4.32,
5/18/2022 4:30,,15.988,760.1,2,7.72,4.11,
5/18/2022 4:45,,15.913,760.5,2.05,7.73,4.19,
5/18/2022 5:00,,15.84,760.9,2.69,7.71,4.07,
5/18/2022 5:15,,15.739,761.4,1.69,7.72,4.07,
5/18/2022 5:30,,15.695,761.8,2.32,7.71,3.98,
5/18/2022 5:45,,15.63,762.1,2.32,7.72,4.03,
