TimeStamp,Discharge,O2,Sp Cond,Turbidity,Water Temp,pH,fDOM
5/10/2022 0:00,0.58,6.56,2640.5,25.36,18.271,7.84,
5/10/2022 0:15,0.52,6.72,2639.5,17.27,18.209,7.85,
5/10/2022 0:30,0.55,6.55,2640.9,19.4,18.217,7.84,
5/10/2022 0:45,0.58,6.61,2638.4,19.19,17.981,7.85,
5/10/2022 1:00,0.55,6.47,2639.5,22.31,17.897,7.83,
5/10/2022 1:15,0.52,6.42,2639,33.74,17.919,7.84,
5/10/2022 1:30,0.52,6.5,2639.1,21.6,17.789,7.84,
5/10/2022 1:45,0.52,6.38,2638.6,22.46,17.691,7.82,
5/10/2022 2:00,0.5,6.36,2639,23.43,17.635,7.82,
5/10/2022 2:15,0.52,6.26,2639.7,21.62,17.556,7.81,
5/10/2022 2:30,0.52,6.21,2639.8,20.83,17.48,7.81,
5/10/2022 2:45,0.5,6.3,2640.2,17.2,17.372,7.81,
5/10/2022 3:00,0.5,6.32,2640.5,21.94,17.395,7.83,
5/10/2022 3:15,0.52,6.33,2640.7,19.39,17.311,7.83,
5/10/2022 3:30,0.45,6.31,2641.2,21.67,17.223,7.83,
5/10/2022 3:45,0.47,6.32,2641.9,17.39,17.132,7.83,
5/10/2022 4:00,0.5,6.36,2640.9,11.06,17.053,7.83,
5/10/2022 4:15,0.47,6.31,2641,13.15,16.986,7.83,
5/10/2022 4:30,0.47,6.25,2642,17.45,16.93,7.82,
5/10/2022 4:45,0.5,6.23,2639.9,18.96,16.856,7.82,
5/10/2022 5:00,0.5,6.27,2641.6,16.54,16.774,7.82,
5/10/2022 5:15,0.47,6.27,2639.7,13.44,16.726,7.83,
5/10/2022 5:30,0.47,6.14,2641.5,21.3,16.711,7.82,
5/10/2022 5:45,0.47,6.29,2640.7,14.64,16.611,7.83,
5/10/2022 6:00,0.45,6.29,2639.7,12.32,16.575,7.84,
5/10/2022 6:15,0.47,6.23,2640.7,22.9,16.543,7.83,
5/10/2022 6:30,0.45,6.3,2641.3,13.86,16.503,7.84,
5/10/2022 6:45,0.43,6.35,2639.7,12.15,16.456,7.83,
5/10/2022 7:00,0.45,6.37,2638.8,9.57,16.436,7.85,
5/10/2022 7:15,0.47,6.39,2638.3,9.04,16.443,7.85,
5/10/2022 7:30,0.47,6.44,2638,8.29,16.443,7.85,
5/10/2022 7:45,0.47,6.44,2637.4,7.8,16.5,7.85,
5/10/2022 8:00,0.5,6.47,2638.2,7.35,16.555,7.85,
5/10/2022 8:15,0.52,6.45,2627.4,6.04,16.693,7.85,
5/10/2022 8:30,0.55,6.45,2642.2,7.69,16.663,7.85,
5/10/2022 8:45,0.55,6.42,2639.7,7.54,16.83,7.84,
5/10/2022 9:00,0.58,6.39,2640.5,8.51,17.147,7.83,
5/10/2022 9:15,0.61,6.35,2638.7,15.65,17.089,7.83,
5/10/2022 9:30,0.64,6.44,2636.9,13.75,16.922,7.84,
5/10/2022 9:45,0.61,6.4,2638.8,8.32,17.013,7.84,
5/10/2022 10:00,0.61,6.38,2642.3,8.51,17.047,7.84,
5/10/2022 10:15,0.64,6.39,2640.3,12.03,17.052,7.84,
5/10/2022 10:30,0.64,6.55,2639.9,7.59,17.391,7.86,
5/10/2022 10:45,0.67,6.3,2639.9,14.55,17.271,7.82,
5/10/2022 11:00,0.7,6.39,2638.1,17.06,17.291,7.84,
5/10/2022 11:15,0.7,6.46,2641.4,12.89,17.417,7.85,
5/10/2022 11:30,0.67,6.56,2637.7,12.8,17.547,7.86,
5/10/2022 11:45,0.67,6.59,2636.7,12.06,17.785,7.84,
5/10/2022 12:00,0.67,6.77,2641.7,8.64,18.284,7.88,
5/10/2022 12:15,0.74,6.93,2639.6,7.85,18.428,7.89,
5/10/2022 12:30,0.67,7.07,2640.2,6.8,18.818,7.9,
5/10/2022 12:45,0.67,7.57,2642.9,7.16,19.261,7.93,
5/10/2022 13:00,0.7,7.11,2638.7,8.5,19.116,7.91,
5/10/2022 13:15,0.67,7.29,2638.8,6.79,19.413,7.92,
5/10/2022 13:30,0.74,7.37,2641.8,8.86,19.68,7.94,
5/10/2022 13:45,0.7,7.74,2645.7,3.97,20.633,7.98,
5/10/2022 14:00,0.67,7.71,2640.9,4.01,20.59,7.99,
5/10/2022 14:15,0.7,7.7,2640.8,5.26,20.742,8,
