TimeStamp,Discharge,O2,Sp Cond,Turbidity,Water Temp,pH,fDOM
05/01/2022 00:00,0.73955975,7.6,835.1,10,16.832,7.957988554,
05/01/2022 00:15,0.73955975,7.52,835.1,11.12,16.723,7.957936531,
05/01/2022 00:30,0.73955975,7.51,835,13.77,16.633,7.947884507,
05/01/2022 00:45,0.73955975,7.46,835.1,12.89,16.535,7.937832484,
05/01/2022 01:00,0.73955975,7.42,835.1,13.38,16.415,7.937780461,
05/01/2022 01:15,0.73955975,7.4,835.1,13.7,16.324,7.937728438,
05/01/2022 01:30,0.73955975,7.36,835,14.35,16.243,7.927676415,
05/01/2022 01:45,0.73955975,7.35,835,12.77,16.123,7.927624392,
05/01/2022 02:00,0.73955975,7.34,834.7,11.81,15.959,7.917572369,
05/01/2022 02:15,0.73955975,7.34,834.9,12.9,15.972,7.937520346,
05/01/2022 02:30,0.73955975,7.37,834.8,13.1,15.893,7.927468323,
05/01/2022 02:45,0.73955975,7.38,834.7,12.64,15.749,7.9274163,
05/01/2022 03:00,0.73955975,7.37,834.6,12.66,15.714,7.937364276,
05/01/2022 03:15,0.73955975,7.36,834.5,13.28,15.638,7.927312253,
05/01/2022 03:30,0.73955975,7.33,834.5,11.7,15.55,7.92726023,
05/01/2022 03:45,0.73955975,7.34,834.4,11.45,15.333,7.917208207,
05/01/2022 04:00,0.73955975,7.34,834.5,11.23,15.317,7.927156184,
05/01/2022 04:15,0.73955975,7.34,834.4,12.8,15.272,7.937104161,
05/01/2022 04:30,0.73955975,7.34,834.4,9.76,15.12,7.917052138,
05/01/2022 04:45,0.73955975,7.32,834.1,10.95,14.945,7.907000115,
05/01/2022 05:00,0.73955975,7.31,834.4,11.62,14.947,7.916948092,
05/01/2022 05:15,0.73955975,7.33,834.3,11.54,14.833,7.916896069,
05/01/2022 05:30,0.73955975,7.32,834.4,10.84,14.817,7.926844046,
05/01/2022 05:45,0.73955975,7.35,834.3,10.47,14.721,7.926792022,
05/01/2022 06:00,0.73955975,7.37,834.3,10.53,14.701,7.916739999,
05/01/2022 06:15,0.73955975,7.37,834.1,11.4,14.702,7.926687976,
05/01/2022 06:30,0.73955975,7.4,834,11.94,14.69,7.936635953,
05/01/2022 06:45,0.73955975,7.34,834,15.2,14.643,7.90658393,
05/01/2022 07:00,0.73955975,7.32,833.8,16.23,14.64,7.906531907,
05/01/2022 07:15,0.73955975,7.34,833.6,15.94,14.625,7.916479884,
05/01/2022 07:30,0.73955975,7.41,833.6,13.12,14.634,7.926427861,
05/01/2022 07:45,0.73955975,7.37,834.5,15.57,14.772,7.936375838,
05/01/2022 08:00,0.789530004,7.37,834.5,16.57,14.789,7.926323815,
05/01/2022 08:15,0.73955975,7.76,835.2,14.28,14.731,7.936271791,
05/01/2022 08:30,0.73955975,7.99,836.4,15.19,14.894,7.966219768,
05/01/2022 08:45,0.789530004,8.05,836.6,12.96,15.272,7.996167745,
