TimeStamp,Discharge,Water Temp,Sp Cond,O2,Turbidity,fDOM,pH
05/09/2022 16:00,,15.1035,190,8.46,2.05,7.41,8.5
05/09/2022 16:15,,15.158,190.1,8.4,1.11,7.015,8.469824807
05/09/2022 16:30,,15.208,190.3,8.35,1.24,6.96,8.469649615
05/09/2022 16:45,,15.242,190.45,8.28,1.73,7.28,8.479474422
05/09/2022 17:00,,15.2625,190.6,8.24,1.09,7.38,8.469299229
05/09/2022 17:15,,15.2335,190.7,8.16,1.21,7.65,8.459124036
05/09/2022 17:30,,15.205,190.9,8.11,1.21,7.17,8.438948844
05/09/2022 17:45,,15.1585,191.1,8.04,1.36,7.39,8.438773651
05/09/2022 18:00,,15.069,191.2,7.97,1.24,7.58,8.428598458
05/09/2022 18:15,,14.9725,191.4,7.9,1.05,7.65,8.408423266
05/09/2022 18:30,,14.8615,191.7,7.8,0.94,7.2,8.368248073
05/09/2022 18:45,,14.726,192.05,7.66,0.87,7.595,8.33807288
05/09/2022 19:00,,14.616,192.4,7.51,0.99,7.86,8.297897687
05/09/2022 19:15,,14.564,192.6,7.43,1.11,7.91,8.267722495
05/09/2022 19:30,,14.536,192.9,7.35,0.84,7.68,8.237547302
05/09/2022 19:45,,14.501,193.2,7.28,0.735,7.86,8.197372109
05/09/2022 20:00,,14.491,193.5,7.215,1.075,8.03,8.187196917
05/09/2022 20:15,,14.479,193.9,7.15,0.935,8.28,8.177021724
05/09/2022 20:30,,14.455,194.1,7.105,1.34,8.28,8.156846531
05/09/2022 20:45,,14.429,194.5,7.08,1.24,8.42,8.136671338
05/09/2022 21:00,,14.38,194.7,7.05,0.935,8.41,8.116496146
05/09/2022 21:15,,14.3435,195,7.03,1.37,8.16,8.106320953
05/09/2022 21:30,,14.27,195.3,7.02,1.08,8.48,8.09614576
05/09/2022 21:45,,14.213,195.5,7.03,1.035,8.47,8.075970568
05/09/2022 22:00,,14.15,195.75,7.03,1.095,8.61,8.075795375
05/09/2022 22:15,,14.072,195.9,7.03,1.16,8.49,8.045620182
05/09/2022 22:30,,13.995,196.1,7.05,1.045,8.47,8.055444989
05/09/2022 22:45,,13.902,196.2,7.06,1.63,8.5,8.045269797
05/09/2022 23:00,,13.815,196.4,7.09,1.2,8.68,8.035094604
05/09/2022 23:15,,13.711,196.6,7.11,1.025,8.61,8.034919411
05/09/2022 23:30,,13.596,196.8,7.135,1.08,8.75,8.024744219
05/09/2022 23:45,,13.469,196.9,7.15,1.11,8.78,8.024569026
05/10/2022 00:00,,13.347,197.1,7.2,1.155,8.76,8.014393833
05/10/2022 00:15,,13.222,197.1,7.21,1.11,8.685,8.004218641
05/10/2022 00:30,,13.1135,196.9,7.23,1.03,8.81,8.004043448
05/10/2022 00:45,,13.001,196.8,7.29,1.605,8.79,8.003868255
05/10/2022 01:00,,12.879,196.8,7.35,1.37,8.95,8.008693062
05/10/2022 01:15,,12.7515,196.7,7.35,1.395,8.92,8.01351787
05/10/2022 01:30,,12.6195,196.6,7.4,1.64,8.74,8.013342677
05/10/2022 01:45,,12.4825,196.5,7.44,1.245,8.82,8.013167484
05/10/2022 02:00,,12.344,196.4,7.48,1.525,8.91,8.012992292
05/10/2022 02:15,,12.209,196.4,7.52,1.165,8.965,8.012817099
05/10/2022 02:30,,12.077,196.3,7.56,1.18,8.96,8.012641906
05/10/2022 02:45,,11.948,196.25,7.58,1.26,8.99,8.002466713
05/10/2022 03:00,,11.811,196.2,7.61,1.1,8.99,8.012291521
05/10/2022 03:15,,11.671,196.15,7.69,1.225,8.93,8.012116328
05/10/2022 03:30,,11.538,196.1,7.68,1.33,8.99,8.011941135
05/10/2022 03:45,,11.415,196,7.7,1.42,9.04,8.011765943
05/10/2022 04:00,,11.294,196,7.74,1.79,8.91,8.01159075
05/10/2022 04:15,,11.17,195.9,7.76,1.495,9.06,8.011415557
05/10/2022 04:30,,11.059,195.75,7.82,1.305,9.1,8.001240364
05/10/2022 04:45,,10.95,195.6,7.82,1.16,9.09,8.011065172
05/10/2022 05:00,,10.843,195.5,7.87,1.165,9.145,8.010889979
05/10/2022 05:15,,10.742,195.4,7.88,1.135,9.02,8.010714786
05/10/2022 05:30,,10.632,195.3,7.91,1.16,9.1,8.010539594
05/10/2022 05:45,,10.517,195.2,7.94,1.08,9.03,8.005364401
05/10/2022 06:00,,10.414,195.1,7.98,1.115,9.09,8.000189208
05/10/2022 06:15,,10.306,195,8.02,1.015,9.14,8.000014015
05/10/2022 06:30,,10.203,194.9,8.05,1.145,9.15,8.009838823
05/10/2022 06:45,,10.104,194.8,8.12,1.005,9.11,8.01966363
05/10/2022 07:00,,10.011,194.8,8.14,0.95,9.095,8.019488437
05/10/2022 07:15,,9.926,194.7,8.18,0.89,9.07,8.029313245
05/10/2022 07:30,,9.85,194.6,8.23,0.93,9.09,8.009138052
05/10/2022 07:45,,9.819,194.5,8.29,0.91,9.08,8.038962859
05/10/2022 08:00,,9.83,194.3,8.4,0.975,9.03,8.058787666
05/10/2022 08:15,,9.853,194.2,8.49,1.19,9.02,8.078612474
05/10/2022 08:30,,9.907,194,8.57,1.105,8.945,8.098437281
05/10/2022 08:45,,9.999,193.8,8.66,1.02,8.92,8.118262088
05/10/2022 09:00,,10.111,193.6,8.72,0.82,8.88,8.148086896
05/10/2022 09:15,,10.222,193.4,8.77,1.025,8.79,8.167911703
05/10/2022 09:30,,10.359,193.3,8.82,0.84,8.7,8.17773651
05/10/2022 09:45,,10.505,193.2,8.87,0.81,8.61,8.207561317
05/10/2022 10:00,,10.652,193.1,8.92,0.835,8.57,8.217386125
05/10/2022 10:15,,10.813,193,8.95,0.83,8.535,8.237210932
05/10/2022 10:30,,10.991,192.9,8.97,0.885,8.43,8.257035739
05/10/2022 10:45,,11.1965,192.8,9.01,0.815,8.32,8.266860547
05/10/2022 11:00,,11.407,192.7,9.02,0.81,8.23,8.286685354
05/10/2022 11:15,,11.678,192.4,9.03,0.805,8.155,8.306510161
05/10/2022 11:30,,11.9695,192.2,9.04,0.775,8.06,8.326334968
05/10/2022 11:45,,12.2885,191.9,9.03,0.785,7.99,8.346159776
05/10/2022 12:00,,12.598,191.65,9.01,0.755,7.88,8.375984583
05/10/2022 12:15,,12.876,191.4,9,0.875,7.87,8.38580939
05/10/2022 12:30,,13.122,191.2,8.98,0.895,7.831751825,8.405634198
05/10/2022 12:45,,13.383,190.9,8.96,0.915,7.76350365,8.435459005
05/10/2022 13:00,,13.623,190.8,8.93,0.87,7.805255474,8.445283812
05/10/2022 13:15,,13.902,190.5,8.89,0.825,7.752007299,8.465108619
05/10/2022 13:30,,14.1205,190.4,8.85,0.865,7.798759124,8.464933427
05/10/2022 13:45,,14.36,190.3,8.83,0.845,7.775510949,8.494758234
05/10/2022 14:00,,14.556,190.3,8.8,0.76,7.702262774,8.504583041
05/10/2022 14:15,,14.756,190.3,8.75,1.645,7.744014599,8.514407849
05/10/2022 14:30,,14.977,190.2,8.71,0.92,7.730766423,8.524232656
05/10/2022 14:45,,15.181,190.15,8.67,0.98,7.647518248,8.524057463
05/10/2022 15:00,,15.354,190,8.61,0.74,7.669270073,8.54388227
05/10/2022 15:15,,15.5485,190.1,8.56,1.065,7.631021898,8.553707078
05/10/2022 15:30,,15.722,190.1,8.51,0.76,7.542773723,8.553531885
05/10/2022 15:45,,15.871,190,8.45,0.67,7.544525547,8.543356692
05/10/2022 16:00,,15.984,190.1,8.38,0.73,7.586277372,8.5431815
05/10/2022 16:15,,16.059,190.1,8.31,1.01,7.548029197,8.543006307
05/10/2022 16:30,,16.12,190.2,8.25,0.885,7.589781022,8.542831114
05/10/2022 16:45,,16.15,190.2,8.18,0.78,7.621532847,8.542655922
05/10/2022 17:00,,16.162,190.3,8.12,0.625,7.653284672,8.532480729
05/10/2022 17:15,,16.145,190.4,8.05,0.69,7.660036496,8.532305536
05/10/2022 17:30,,16.147,190.5,7.99,0.645,7.636788321,8.512130343
05/10/2022 17:45,,16.101,190.6,7.92,0.665,7.668540146,8.501955151
05/10/2022 18:00,,16.026,190.8,7.86,0.615,7.720291971,8.481779958
05/10/2022 18:15,,15.929,191,7.78,0.655,7.732043796,8.471604765
05/10/2022 18:30,,15.849,191.2,7.7,0.82,7.74379562,8.441429573
05/10/2022 18:45,,15.725,191.6,7.53,0.84,7.715547445,8.40125438
05/10/2022 19:00,,15.599,191.9,7.39,0.66,7.78729927,8.351079187
05/10/2022 19:15,,15.54,192.2,7.31,0.68,7.844051095,8.330903994
05/10/2022 19:30,,15.512,192.5,7.22,0.65,7.84080292,8.300728802
05/10/2022 19:45,,15.508,192.8,7.16,0.655,7.892554745,8.260553609
05/10/2022 20:00,,15.495,193,7.1,0.69,7.924306569,8.240378416
05/10/2022 20:15,,15.491,193.3,7.04,0.75,7.946058394,8.210203224
05/10/2022 20:30,,15.47,193.6,6.99,0.725,7.957810219,8.200028031
05/10/2022 20:45,,15.435,193.8,6.96,0.86,7.989562044,8.169852838
05/10/2022 21:00,,15.404,194,6.93,0.745,8.001313869,8.149677645
05/10/2022 21:15,,15.369,194.3,6.93,0.815,8.023065693,8.139502453
05/10/2022 21:30,,15.323,194.55,6.91,0.91,8.034817518,8.12932726
05/10/2022 21:45,,15.255,194.7,6.91,0.85,8.066569343,8.109152067
05/10/2022 22:00,,15.1775,194.9,6.9,1.05,8.068321168,8.088976875
05/10/2022 22:15,,15.079,195.1,6.92,0.76,8.100072993,8.088801682
05/10/2022 22:30,,14.978,195.2,6.94,0.835,8.111824818,8.078626489
05/10/2022 22:45,,14.876,195.4,6.95,0.75,8.083576642,8.058451296
05/10/2022 23:00,,14.767,195.5,6.97,0.825,8.135328467,8.048276104
05/10/2022 23:15,,14.648,195.6,7.02,0.945,8.137080292,8.048100911
05/10/2022 23:30,,14.522,195.7,7.02,0.975,8.123832117,8.037925718
05/10/2022 23:45,,14.3875,195.8,7.03,0.93,8.180583942,8.017750526
05/11/2022 00:00,,14.246,196,7.06,0.845,8.202335766,8.027575333
05/11/2022 00:15,,14.103,196,7.09,0.78,8.194087591,8.01740014
05/11/2022 00:30,,13.955,196,7.12,0.885,8.175839416,8.017224947
05/11/2022 00:45,,13.802,196.1,7.15,0.9,8.192591241,8.017049755
05/11/2022 01:00,,13.644,196.1,7.175,0.98,8.164343066,7.996874562
05/11/2022 01:15,,13.4825,196.1,7.24,0.95,8.161094891,8.006699369
05/11/2022 01:30,,13.306,196.1,7.25,0.925,8.192846715,7.996524177
05/11/2022 01:45,,13.1405,196.1,7.29,1.105,8.18459854,7.986348984
