TimeStamp,Discharge,O2,Sp Cond,Turbidity,Water Temp,fDOM,pH
5/10/2022 0:00,7.3,,,,,,
5/10/2022 0:15,7.3,,,,,,
5/10/2022 0:30,7.3,,,,,,
5/10/2022 0:45,7.3,,,,,,
5/10/2022 1:00,7.3,,,,,,
5/10/2022 1:15,7.3,,,,,,
5/10/2022 1:30,7.3,,,,,,
5/10/2022 1:45,7.3,,,,,,
5/10/2022 2:00,7.3,,,,,,
5/10/2022 2:15,7.3,,,,,,
5/10/2022 2:30,7.3,,,,,,
5/10/2022 2:45,7.3,,,,,,
5/10/2022 3:00,7.3,,,,,,
5/10/2022 3:15,7.3,,,,,,
5/10/2022 3:30,7.3,,,,,,
5/10/2022 3:45,7.3,,,,,,
5/10/2022 4:00,7.65,,,,,,
5/10/2022 4:15,7.3,,,,,,
5/10/2022 4:30,7.65,,,,,,
5/10/2022 4:45,7.3,,,,,,
5/10/2022 5:00,7.65,,,,,,
5/10/2022 5:15,7.65,,,,,,
5/10/2022 5:30,7.65,,,,,,
5/10/2022 5:45,7.65,,,,,,
5/10/2022 6:00,8,,,,,,
5/10/2022 6:15,7.65,,,,,,
5/10/2022 6:30,8,,,,,,
5/10/2022 6:45,8,,,,,,
5/10/2022 7:00,8,,,,,,
5/10/2022 7:15,8,,,,,,
5/10/2022 7:30,7.65,,,,,,
5/10/2022 7:45,7.65,,,,,,
5/10/2022 8:00,8,,,,,,
5/10/2022 8:15,8,,,,,,
5/10/2022 8:30,8,,,,,,
5/10/2022 8:45,7.65,,,,,,
5/10/2022 9:00,8,,,,,,
5/10/2022 9:15,8,,,,,,
5/10/2022 9:30,7.65,,,,,,
5/10/2022 9:45,8,,,,,,
5/10/2022 10:00,8,,,,,,
5/10/2022 10:15,8,,,,,,
5/10/2022 10:30,8,,,,,,
5/10/2022 10:45,8,,,,,,
5/10/2022 11:00,8,,,,,,
5/10/2022 11:15,8,,,,,,
5/10/2022 11:30,8,8.58,240.7,1.22,14.108,8.01,8.54
5/10/2022 11:45,8,8.56,240.5,1.16,14.484,7.99,8.55985108
5/10/2022 12:00,8,8.52,240.1,1.16,14.853,7.97,8.579702159
5/10/2022 12:15,8,8.46,239.7,1.13,15.156,7.97,8.589553239
5/10/2022 12:30,8,8.39,239.5,1.16,15.455,7.97,8.609404319
5/10/2022 12:45,8.36,8.35,239.1,1.2,15.743,7.96,8.619255398
5/10/2022 13:00,8,8.31,239.2,1.17,16.121,7.9,8.639106478
